zip_first_three_digits,population_count,housing_count,total_male_population,total_female_population,white,black_or_african_american,american_indian_or_alaskan_native,asian,native_hawaiian_and_other_pacific_islander,other_race,two_or_more_races,median_household_income,percent_population_in_poverty,median_earnings_past_year,percent_high_school_graduate,percent_bachelors_degree,percent_graduate_degree,pop_under_10,pop_10_to_19,pop_20_to_29,pop_30_to_39,pop_40_to_49,pop_50_to_59,pop_60_to_69,pop_70_to_79,pop_80_plus,kmeans_cluster
100,1580423.0,826854.0,744766.0,835657.0,916464.0,243456.0,8629.0,175988.0,857.0,172169.0,62860.0,70187.80897202838,17.82047598465727,50436.1497320654,85.53843177725204,56.479918936132925,26.781853094139986,2819.3125,3012.7916666666665,6917.6875,5577.0625,4420.604166666667,3978.9166666666665,3110.2291666666665,1821.3541666666667,1267.5208333333333,1
101,90966.0,48910.0,41373.0,49593.0,74933.0,3865.0,227.0,6193.0,40.0,3333.0,2375.0,82265.84758041466,9.914266623793507,58174.74364048106,91.17991747905812,59.40548520216344,27.83330400699162,1340.5714285714287,1154.142857142857,2308.5714285714284,2157.0,1816.4285714285713,1640.857142857143,1326.7142857142858,745.0,505.85714285714283,2
102,79870.0,38351.0,38313.0,41557.0,71035.0,1843.0,138.0,3661.0,31.0,1637.0,1525.0,77668.74516088644,7.635798622761989,48388.90088894453,90.95761616376613,35.434591322148485,15.32503115687993,1069.75,1094.875,1201.25,1423.5,1501.125,1529.125,1038.75,582.0,543.375,2
103,505603.0,192037.0,245339.0,260264.0,376990.0,50177.0,1763.0,35701.0,218.0,28214.0,12540.0,72075.57631382725,11.762019224965043,43520.80696317071,88.1915299068637,29.921469567822975,12.109880276817979,2816.5,3132.4545454545455,2959.4545454545455,2948.5,3463.5,3343.318181818182,2314.681818181818,1193.8181818181818,809.7272727272727,0
104,1422360.0,531763.0,661843.0,760517.0,413216.0,503133.0,18535.0,49965.0,1295.0,360903.0,75313.0,35725.43673191035,29.971192072611718,26785.44878089935,69.47269629601507,17.64872005736944,6.126252624019235,8024.884615384615,8490.384615384615,8531.807692307691,7400.615384615385,7593.961538461538,6368.884615384615,4244.5,2439.076923076923,1612.0384615384614,1
105,681715.0,261152.0,332264.0,349451.0,519411.0,73682.0,1793.0,31159.0,218.0,37842.0,17610.0,101809.21490505563,7.1344987993516344,49829.2960885414,89.84690894816748,47.67388067520885,23.39899184717954,1286.6060606060605,1482.1818181818182,1029.1969696969697,1180.9848484848485,1716.1060606060605,1559.8333333333333,1028.5454545454545,582.2272727272727,463.3333333333333,0
106,117925.0,50037.0,55541.0,62384.0,83447.0,14576.0,573.0,6509.0,53.0,8807.0,3960.0,79931.30577909689,9.6829102251431,38845.67838032648,89.41645830655078,46.55701298452406,24.58247389018444,1266.0,1384.9,1633.3,1620.7,1746.7,1717.6,1211.2,683.8,528.3,2
107,264584.0,108831.0,124547.0,140037.0,171191.0,38358.0,1575.0,14322.0,131.0,29643.0,9364.0,65107.29313941886,12.998181010567532,40206.00005669277,84.65628869092615,34.048729016871775,15.254120823632572,1942.4705882352941,2050.0588235294117,1998.764705882353,2017.2941176470588,2238.764705882353,2104.705882352941,1528.0,927.7647058823529,755.9411764705883,2
108,173418.0,70266.0,84192.0,89226.0,137136.0,17242.0,615.0,5605.0,83.0,8066.0,4671.0,69778.54400927239,11.37135369338823,39019.74653726834,86.77068148692754,34.45736503765468,15.05385780945461,1721.5833333333333,2003.6666666666667,1919.3333333333333,1718.5,2110.9166666666665,2061.6666666666665,1409.0,822.4166666666666,684.4166666666666,2
109,557127.0,192182.0,276703.0,280424.0,426498.0,56942.0,1835.0,25549.0,187.0,31526.0,14590.0,81135.79666036648,12.781661225716936,39132.21862699169,88.02812279928992,36.10170498450084,15.494517444855482,1301.0461538461539,1341.5692307692307,1012.6615384615385,978.3692307692307,1257.553846153846,1158.7384615384615,792.5076923076923,430.87692307692305,297.8615384615385,0
