Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
0,78768,0,0,0,0,0,0,787,0
0,78769,0,0,0,0,0,0,787,0
0,78772,0,0,0,0,0,0,787,0
0,78773,0,0,0,0,0,0,787,0
0,78774,0,0,0,0,0,0,787,0
0,78778,0,0,0,0,0,0,787,0
0,78779,0,0,0,0,0,0,787,0
0,78780,0,0,0,0,0,0,787,0
0,78781,0,0,0,0,0,0,787,0
0,78783,0,0,0,0,0,0,787,0
0,78785,0,0,0,0,0,0,787,0
0,78786,0,0,0,0,0,0,787,0
0,78788,0,0,0,0,0,0,787,0
0,78789,0,0,0,0,0,0,787,0
0,78798,0,0,0,0,0,0,787,0
0,78799,0,0,0,0,0,0,787,0
8463,78801,2.87,65600,33306,27,7279,21780,788,814.98
92,78802,0.03,86100,51944,20,74,242,788,12.12
592,78827,0.73,30300,24310,12,435,1219,788,101.94
279,78828,0.41,75000,33462,1,120,258,788,178.51
523,78829,1.02,46300,20536,2,382,1207,788,521.15
413,78830,0.61,39300,24861,4,285,786,788,205.54
1932,78832,3.33,65800,33257,3,1350,3598,788,1084.77
824,78833,0.34,66700,29180,5,511,1299,788,243.12
3244,78834,2.23,56000,42222,14,2635,7829,788,556.71
84,78836,0.79,0,0,1,54,128,788,212.37
263,78837,14.03,105000,30556,0,117,281,788,829.65
181,78838,0.3,234000,51667,6,92,275,788,45.01
3011,78839,1.92,38800,25560,24,2594,8578,788,359.34
18118,78840,42.64,92000,40533,51,15465,48149,788,951.46
0,78841,0,0,0,0,0,0,788,0
0,78842,0,0,0,0,0,0,788,0
14,78843,0.04,0,0,70,9,336,788,4.8
0,78847,0,0,0,0,0,0,788,0
590,78850,1.43,112700,46500,4,432,1145,788,269.14
31,78851,0.02,0,0,0,9,23,788,445.72
16910,78852,6.2,86700,31214,93,15162,53040,788,572.47
0,78853,0,0,0,0,0,0,788,0
105,78860,0.35,60400,19535,5,65,229,788,50.51
4887,78861,1.22,101900,45118,30,4219,13701,788,460.36
455,78870,0.71,57500,37500,8,368,984,788,117.97
95,78871,2.14,0,0,0,26,45,788,432.77
751,78872,0.7,41500,31050,10,601,1905,788,184.84
1444,78873,0.4,114500,38594,8,761,1788,788,227.35
441,78877,1.19,98600,42250,17,336,989,788,59.69
223,78879,0.1,134200,36806,6,117,264,788,45.25
1304,78880,1.61,65100,47083,1,690,1682,788,1708.12
1099,78881,1.16,57900,34250,10,872,2335,788,244.97
304,78883,0.19,344200,44231,5,153,353,788,75.98
818,78884,0.42,115600,46389,5,518,1158,788,243.02
151,78885,0.07,218800,80417,2,67,120,788,77.57
