Housing Units,zipcode,Water Area,Median Home Value,Median Household Income,Population Density,Occupied Housing Units,Population,id,Land Area
1030,79752,0,42700,40809,10,842,2245,797,219.38
48,79754,0.09,86000,68000,1,38,80,797,159.48
110,79755,0.16,112500,75625,1,81,230,797,313.96
3898,79756,0.02,62700,44432,52,3367,9066,797,173.27
912,79758,0.19,74400,57460,42,838,2197,797,52.83
15,79759,0.33,0,0,0,10,23,797,195.15
0,79760,0,0,0,0,0,0,797,0
12357,79761,0,94700,44174,2992,11175,30488,797,10.19
16265,79762,0.23,118000,56235,1233,15209,39056,797,31.67
12309,79763,0.21,71300,47230,628,11183,34079,797,54.3
7724,79764,0.15,62500,50556,356,7065,20725,797,58.25
2764,79765,0.18,196500,86367,336,2576,6927,797,20.64
1801,79766,1.46,68300,55102,26,1676,6115,797,237.94
0,79768,0,0,0,0,0,0,797,0
0,79769,0,0,0,0,0,0,797,0
90,79770,5.01,0,0,0,12,33,797,95.19
3964,79772,0.77,41700,41354,11,3429,12747,797,1156.34
0,79776,0,0,0,0,0,0,797,0
114,79777,0.1,73000,63958,2,66,170,797,101.73
397,79778,0,51600,61806,8,331,878,797,104.38
120,79780,0,40000,26029,2,91,224,797,118.15
212,79781,0.02,46700,50000,0,115,303,797,669.91
1540,79782,0.35,69900,39495,9,1381,3976,797,461.34
81,79783,0,112500,112917,1,68,201,797,167.95
57,79785,0,18800,14583,1,45,91,797,158.38
0,79786,0,0,0,0,0,0,797,0
230,79788,0.01,24400,28750,109,199,506,797,4.63
419,79789,0.04,52300,55536,24,366,974,797,39.8
1630,79821,0.14,92700,30810,626,1540,7142,798,11.4
4117,79830,3.69,127600,42062,4,3460,7682,798,2009.76
29,79831,0.22,0,0,0,18,29,798,348.19
0,79832,0,0,0,0,0,0,798,0
125,79834,1.01,0,56397,0,102,200,798,818.69
4022,79835,0.09,61400,29799,1073,3683,12690,798,11.83
1733,79836,0.05,78600,36394,301,1632,5772,798,19.19
348,79837,6.31,40200,26250,0,247,579,798,1650.53
2625,79838,0.12,65000,26477,296,2463,8699,798,29.41
715,79839,0.3,38500,19583,4,582,1938,798,483.54
392,79842,0.62,69100,40500,1,218,498,798,620.31
1536,79843,0.6,89100,45245,2,1105,2503,798,1473.62
2124,79845,0,37600,21512,11,1724,5138,798,468.47
89,79846,0.03,0,18594,0,45,104,798,439.7
122,79847,0,60700,37734,0,82,167,798,832.81
620,79848,0,55800,38958,1,409,927,798,807.46
3574,79849,0.08,58700,25426,942,3351,13208,798,14.02
270,79851,0.07,44000,25000,1,207,641,798,673.32
690,79852,0.69,77800,26613,2,398,799,798,531.93
996,79853,0.12,54900,27870,120,900,3729,798,31.15
142,79854,0.01,61700,75417,0,87,213,798,708.65
1098,79855,0.12,46600,36779,1,883,2336,798,1821.88
4471,79901,0.01,59200,13524,5151,4206,11328,799,2.2
9315,79902,0.01,158300,30315,3238,8515,21236,799,6.56
7176,79903,0,85600,27420,6064,6671,18451,799,3.04
12313,79904,0,97100,32668,3982,11574,35060,799,8.8
8909,79905,0.15,78700,19455,4017,8363,26036,799,6.48
1212,79906,0,0,46180,1040,1039,4374,799,4.21
17537,79907,0.04,83900,27166,4052,16918,55132,799,13.61
546,79908,0,0,70640,188,531,3673,799,19.5
0,79910,0,0,0,0,0,0,799,0
582,79911,0,234800,120815,251,529,1565,799,6.24
30690,79912,0.18,171800,59174,3276,29235,77161,799,23.55
0,79913,0,0,0,0,0,0,799,0
0,79914,0,0,0,0,0,0,799,0
13629,79915,0.11,84300,27134,4495,13104,40057,799,8.91
0,79916,0,0,2499,1845,0,2995,799,1.62
0,79917,0,0,0,0,0,0,799,0
0,79918,0,0,0,0,0,0,799,0
0,79920,0,0,0,31043,0,153,799,0
3132,79922,0.07,268000,80893,1367,2964,8935,799,6.53
0,79923,0,0,0,0,0,0,799,0
21122,79924,0,96600,41009,4824,20158,59058,799,12.24
16253,79925,0.02,130300,44217,2402,15583,40641,799,16.92
0,79926,0,0,0,0,0,0,799,0
11240,79927,0.27,80400,31962,1378,10661,39016,799,28.31
14089,79928,0.01,111800,48251,476,13243,49544,799,104.1
0,79929,0,0,0,0,0,0,799,0
11006,79930,0.02,90600,29942,2590,10229,28410,799,10.97
0,79931,0,0,0,0,0,0,799,0
8357,79932,0.2,155100,50952,1750,8017,24986,799,14.28
6728,79934,0.07,137400,61951,324,6298,19174,799,59.17
6899,79935,0.01,130900,37866,5164,6663,18042,799,3.49
35523,79936,0.02,121700,52024,4154,34452,111086,799,26.74
0,79937,0,0,0,0,0,0,799,0
15137,79938,0.07,127800,52119,147,14131,53520,799,364.35
0,79940,0,0,0,0,0,0,799,0
0,79941,0,0,0,0,0,0,799,0
15,79942,0.02,0,0,0,1,2,799,35.89
